mano,dedo_id,timestamp,ax,ay,az,gx,gy,gz,label
L,0,1183405,-6.552,1.9,7.649,-0.108,-0.035,-0.033,A
L,1,1183409,-6.206,0.231,7.544,-0.103,-0.019,-0.013,A
L,2,1183413,-7.137,-0.391,6.414,-0.058,-0.045,0.011,A
L,3,1183417,-7.897,-3.794,4.27,-0.1,-0.038,-0.037,A
L,4,1183421,-7.752,-5.157,3.092,-0.128,-0.042,-0.034,A
R,0,1201305,-3.855,-6.883,3.748,0.393,0.688,0.058,A
R,1,1201308,-0.786,-3.446,1.31,-0.008,0.191,1.062,A
R,2,1201311,-5.289,-2.794,1.812,-0.536,0.146,0.635,A
R,3,1201314,-9.019,-0.485,0.621,-0.875,0.44,-0.141,A
R,4,1201317,-7.155,0.937,-0.113,-0.508,0.09,0.622,A
L,0,1189425,-4.814,3.95,6.233,-0.91,-1.045,-0.407,A
L,1,1189429,-3.253,2.394,5.994,-0.924,-0.574,-0.79,A
L,2,1189433,-3.826,1.85,4.889,-0.444,-0.35,-1.484,A
L,3,1189437,-5.028,-1.562,4.92,-0.344,0.56,-1.698,A
L,4,1189441,-5.441,-2.684,3.814,0.299,-0.398,-2.18,A
R,0,1207363,-7.187,-4.83,3.827,-0.176,0.022,-0.014,A
R,1,1207366,-7.757,-2.861,4.597,-0.074,0.006,-0.015,A
R,2,1207370,-9.409,1.82,-0.601,0.021,-0.065,-0.063,A
R,3,1207373,-8.705,3.855,-1.323,-0.019,0.034,-0.047,A
R,4,1207376,-7.979,4.304,-1.979,-0.051,0.018,-0.025,A
L,0,1195445,-6.732,1.901,7.703,0.009,0.004,0.013,A
L,1,1195449,-6.592,0.002,7.282,0.031,0.022,-0.004,A
L,2,1195453,-7.734,-1.583,5.442,0.066,-0.002,0.035,A
L,3,1195457,-8.48,-3.669,2.965,0.034,-0.013,0.026,A
L,4,1195461,-7.493,-5.556,2.825,-0.03,0.01,0.037,A
R,0,1213421,-0.413,3.604,9.128,-0.878,0.052,0.409,A
R,1,1213424,-5.143,6.175,4.877,-0.688,0.729,0.569,A
R,2,1213427,-2.829,9.594,0.529,-1.218,4.222,-0.474,A
R,3,1213430,1.535,10.112,1.183,-1.031,4.052,-0.528,A
R,4,1213433,2.726,9.796,-0.414,-1.029,2.707,-0.795,A
L,0,1201465,-6.849,2.031,7.535,-0.034,-0.004,0.001,B
L,1,1201469,-6.655,0.115,7.137,-0.012,0.015,-0.019,B
L,2,1201473,-7.773,-1.205,5.565,0.017,-0.002,0.001,B
L,3,1201477,-8.577,-3.511,3.144,0.017,0.006,-0.009,B
L,4,1201481,-7.726,-5.373,2.775,-0.045,-0.003,-0.001,B
R,0,1219479,-6.126,0.417,7.539,-0.017,0.168,-1.1,B
R,1,1219482,-7.25,2.259,3.656,0.267,0.165,-0.885,B
R,2,1219485,-5.792,6.61,-1.441,0.466,-0.421,-0.319,B
R,3,1219488,-4.48,8.052,-0.672,0.262,-0.509,-0.493,B
R,4,1219491,-2.842,8.169,-2.118,0.15,-0.64,-0.414,B
L,0,1207485,-4.045,5.192,5.255,-0.933,-0.353,-1.083,B
L,1,1207489,-4.073,2.374,6.224,-0.388,0.259,-1.281,B
L,2,1207493,-6.396,3.333,6.536,-0.377,0.543,-1.71,B
L,3,1207497,-8.807,-0.227,6.298,-0.061,1.245,-1.274,B
L,4,1207501,-10.294,-0.596,4.01,0.281,0.694,-1.637,B
R,0,1225537,-1.532,-0.684,9.656,-0.385,-0.149,-0.043,B
R,1,1225540,3.906,-1.031,8.66,-0.321,-0.111,-0.082,B
R,2,1225543,-2.891,2.869,8.885,-0.172,-0.154,-0.312,B
R,3,1225546,-3.089,0.681,9.02,-0.254,0.153,-0.356,B
R,4,1225549,-3.012,3.018,8.856,-0.201,0.051,-0.39,B
L,0,1213505,-8.888,2.131,4.023,-0.032,-0.014,0.009,C
L,1,1213509,-8.594,1.17,4.156,-0.008,0.007,-0.019,C
L,2,1213513,-8.988,1.104,3.272,0.018,-0.009,-0.001,C
L,3,1213517,-9.55,-0.347,1.872,0.017,0.004,-0.015,C
L,4,1213520,-9.161,-2.107,-0.573,-0.042,0.003,-0.005,C
R,0,1231596,-7.986,-4.549,5.471,-0.239,0.259,-0.019,C
R,1,1231599,-8.314,-2.993,6.359,-0.141,0.161,-0.102,C
R,2,1231602,-10.191,2.768,-0.466,0.161,-0.002,-0.178,C
R,3,1231605,-9.378,4.852,-0.198,0.096,0.206,-0.102,C
R,4,1231608,-8.809,5.145,-1.073,0.077,0.203,-0.172,C
L,0,1219525,-7.332,2.993,6.865,-0.018,-0.1,-0.152,C
L,1,1219529,-6.718,1.629,6.776,-0.026,-0.019,-0.191,C
L,2,1219533,-7.315,1.462,5.629,0.015,-0.041,-0.198,C
L,3,1219537,-8.053,-1.979,4.62,0.041,0.104,-0.202,C
L,4,1219541,-8.516,-3.066,2.145,0.051,0.069,-0.228,C
R,0,1237653,2.021,-9.244,3.472,-0.15,0.043,0.031,C
R,1,1237656,-4.532,-7.129,4.518,-0.002,0.019,0.022,C
R,2,1237659,-8.311,-1.838,4.997,0.037,-0.015,0.002,C
R,3,1237662,-8.155,-0.134,5.197,-0.021,0.058,0.017,C
R,4,1237665,-6.825,2.953,6.397,-0.036,0.043,0.003,C
L,0,1225545,-8.424,2.452,4.762,-0.041,-0.025,0.018,D
L,1,1225549,-8.253,1.122,4.542,-0.014,-0.006,-0.013,D
L,2,1225553,-8.79,0.788,3.478,0.007,-0.022,-0.001,D
L,3,1225557,-9.266,-1.273,2.144,0.005,-0.002,-0.025,D
L,4,1225561,-9.052,-2.799,0.205,-0.037,-0.01,-0.032,D
R,0,1243711,-4.876,-3.836,6.318,0.092,0.039,0.292,D
R,1,1243714,-7.774,-1.284,5.462,1.552,-1.02,-1.159,D
R,2,1243717,-7.495,4.927,1.034,0.618,-0.156,0.14,D
R,3,1243721,-5.429,6.65,2.246,0.471,-0.101,0.044,D
R,4,1243724,-4.435,7.45,1.252,0.382,-0.121,0.035,D
L,0,1231565,-6.495,2.201,7.781,-0.026,0.006,0.025,D
L,1,1231569,-6.161,0.493,7.76,0.005,0.001,0.007,D
L,2,1231573,-6.699,0.551,7.033,0.018,-0.014,0.025,D
L,3,1231577,-7.724,-3.323,5.176,0.012,-0.016,0.005,D
L,4,1231580,-8.384,-4.296,2.728,-0.044,-0.031,0.013,D
R,0,1249769,4.723,-8.259,3.451,-0.172,0.04,0.018,D
R,1,1249772,-3.705,-7.446,4.591,-0.007,0.006,-0.019,D
R,2,1249775,-4.356,-0.223,8.888,0.043,-0.059,-0.032,D
R,3,1249778,-4.339,-0.775,8.589,-0.014,0.01,-0.011,D
R,4,1249781,-4.17,1.222,9.015,-0.043,-0.001,-0.013,D
L,0,1237585,-7.819,1.548,6.324,0.006,0.017,-0.005,D
L,1,1237589,-7.462,0.297,6.073,0.036,0.026,-0.024,D
L,2,1237593,-7.807,0.341,5.535,0.055,0.017,-0.013,D
L,3,1237597,-8.674,-2.758,3.73,0.053,0.022,0.0,D
L,4,1237600,-8.847,-3.873,1.166,-0.006,0.017,0.021,D
R,0,1255827,1.89,-4.888,8.826,-0.128,0.23,-0.381,D
